timestamp,protocolo,src_ip,src_port,dst_ip,dst_port,tamanho
2025-11-23T00:24:57.840462,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:24:58.784899,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:02.873442,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:03.781096,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:07.902063,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:08.786137,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:12.888603,UDP,192.168.15.13,5353,224.0.0.251,5353,56
2025-11-23T00:25:12.889330,UDP,192.168.15.13,5353,224.0.0.251,5353,56
2025-11-23T00:25:12.889502,UDP,192.168.15.13,5353,224.0.0.251,5353,150
2025-11-23T00:25:12.889703,UDP,192.168.15.13,5353,224.0.0.251,5353,150
2025-11-23T00:25:12.918690,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:13.113242,UDP,192.168.15.17,5353,224.0.0.251,5353,66
2025-11-23T00:25:13.113595,UDP,192.168.15.17,5353,224.0.0.251,5353,160
2025-11-23T00:25:13.118855,UDP,192.168.15.15,5353,224.0.0.251,5353,58
2025-11-23T00:25:13.118984,UDP,192.168.15.15,5353,224.0.0.251,5353,152
2025-11-23T00:25:13.119728,UDP,192.168.15.15,5353,224.0.0.251,5353,58
2025-11-23T00:25:13.119840,UDP,192.168.15.15,5353,224.0.0.251,5353,152
2025-11-23T00:25:13.264891,UDP,192.168.15.13,5353,224.0.0.251,5353,56
2025-11-23T00:25:13.265057,UDP,192.168.15.13,5353,224.0.0.251,5353,56
2025-11-23T00:25:13.265189,UDP,192.168.15.13,5353,224.0.0.251,5353,150
2025-11-23T00:25:13.265290,UDP,192.168.15.13,5353,224.0.0.251,5353,150
2025-11-23T00:25:13.406016,UDP,192.168.15.15,5353,224.0.0.251,5353,58
2025-11-23T00:25:13.408048,UDP,192.168.15.15,5353,224.0.0.251,5353,58
2025-11-23T00:25:13.408146,UDP,192.168.15.15,5353,224.0.0.251,5353,152
2025-11-23T00:25:13.408194,UDP,192.168.15.15,5353,224.0.0.251,5353,152
2025-11-23T00:25:13.476678,UDP,192.168.15.17,5353,224.0.0.251,5353,66
2025-11-23T00:25:13.476862,UDP,192.168.15.17,5353,224.0.0.251,5353,160
2025-11-23T00:25:13.786681,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:17.949442,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:18.786952,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:22.979281,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:23.792876,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:27.901968,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:28.799517,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:32.928284,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:33.801924,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:37.954216,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:38.806323,UDP,192.168.15.42,59727,255.255.255.255,6667,200
2025-11-23T00:25:42.964205,UDP,192.168.15.10,57054,255.255.255.255,6667,200
2025-11-23T00:25:43.808766,UDP,192.168.15.42,59727,255.255.255.255,6667,200
